Sample name	Pyruvate_Conc	Pyruvate_Area	Succinate_Conc	Succinate_Area	Lactate_Conc	Lactate_Area	formate_Conc	formate_Area	Acetate_Conc	Acetate_Area	Glucose_Conc	Glucose_Area	Ethanol_Conc	Ethanol_Area	Arabinose_Conc	Arabinose_Area
20190110_WT_R2_t6	0.085	341898	0.039	24854	39.943	12431109	9.090	2100357	4.014	794406	0.000	0	9.610	90136	0.000	10400541
20190110_MQ05	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_WT_R3_t1	0.005	20482	0.032	20592	40.227	12519311	8.336	1925968	3.804	752783	0.000	0	8.938	83328	0.000	10322527
20190110_WT_R3_t2	0.010	39763	0.034	21857	41.204	12823337	8.581	1982586	3.995	790631	0.000	0	9.102	87834	0.000	10688795
20190110_WT_R3_t3	0.010	40470	0.037	24017	41.832	13019030	8.635	1995043	3.952	781969	0.000	0	9.746	91847	0.000	10452867
20190110_WT_R3_t4	0.012	49629	0.036	23383	42.944	13365127	8.832	2040653	4.080	807391	0.000	0	9.641	91572	0.000	10532595
20190110_WT_R3_t5	0.013	54391	0.040	25862	41.364	12873308	8.585	1983512	3.978	787288	0.000	0	9.471	89821	0.000	10512577
20190110_WT_R3_t6	0.013	54405	0.032	20758	36.086	11230619	7.525	1738634	3.457	684088	0.000	0	7.827	73982	0.000	10435801
20190110_WT_R4_t1	0.008	31099	0.036	22883	39.750	12370988	8.168	1887139	3.793	750563	0.000	0	8.981	81579	0.000	10058928
20190110_WT_R4_t2	0.010	42163	0.037	23890	39.616	12329268	8.105	1872729	3.881	768103	0.000	0	8.959	82774	0.000	10230596
20190110_WT_R4_t3	0.010	41699	0.040	25763	42.767	13309819	8.756	2023020	4.158	822911	0.000	0	9.715	91604	0.000	10457051
20190110_MQ06	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_WT_R4_t4	0.010	39310	0.029	18483	29.880	9299124	6.115	1412992	2.814	556869	0.000	0	7.512	67970	0.000	9980412
20190110_WT_R4_t5	0.016	65901	0.038	24267	40.014	12453205	8.109	1873645	3.893	770464	0.000	0	7.928	78151	0.000	10887728
20190110_WT_R4_t6	0.009	37971	0.041	26319	37.798	11763407	7.798	1801779	3.600	712493	0.000	0	16.578	145336	0.000	9798217
20190110_ccpa_CDMpc_bottle1_m2	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	29.344	425553	0.000	0	0.000	1288159
20190110_ccpa_CDMpc_bottle2_m2	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	28.000	287976	52.941	42938	0.000	913362
20190110_WT_CDMpc_chembottle_m2	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	26.296	480678	0.000	0	0.000	1622842
20190110_WT_CDMpc_onbottle_m2	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	26.960	464482	0.000	0	0.000	1529735
