Sample name	Pyruvate_Conc	Pyruvate_Area	Succinate_Conc	Succinate_Area	Lactate_Conc	Lactate_Area	formate_Conc	formate_Area	Acetate_Conc	Acetate_Area	Glucose_Conc	Glucose_Area	Ethanol_Conc	Ethanol_Area	Arabinose_Conc	Arabinose_Area
20190110_MQ01	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_ccpa_CDMpc_bottle1_m1	0.010	40884	0.000	0	0.000	0	0.135	31282	0.092	18183	29.597	3496401	0.000	0	0.000	10493547
20190110_ccpa_CDMpc_bottle2_m1	0.010	39323	0.000	0	0.000	0	0.122	28144	0.000	0	28.057	3485394	0.000	0	0.000	11032233
20190110_ccpa_R1_t1	0.188	761199	0.031	19744	40.086	12475498	11.180	2583269	5.042	997787	0.000	0	6.069	58553	0.000	10581445
20190110_ccpa_R1_t2	0.203	821589	0.028	17945	39.950	12433202	10.997	2540859	4.935	976648	0.000	0	9.547	90890	0.000	10554940
20190110_ccpa_R1_t3	0.192	775964	0.028	17808	40.066	12469245	10.849	2506684	4.827	955111	0.000	0	9.539	89382	0.000	10388926
20190110_ccpa_R1_t4	0.182	737048	0.032	20396	40.051	12464663	10.857	2508627	4.840	957794	0.000	0	9.090	87763	0.000	10694456
20190110_ccpa_R1_t5	0.181	729558	0.031	19780	39.997	12447881	10.659	2462728	4.738	937599	0.000	0	8.162	77553	0.000	10500469
20190110_MQ02	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_ccpa_R2_t1	0.205	826672	0.031	19939	36.113	11238954	14.453	3339410	6.237	1234192	0.000	0	12.507	116996	0.000	10418072
20190110_ccpa_R2_t2	0.199	803258	0.034	21662	36.611	11394014	14.588	3370505	6.252	1237243	0.000	0	12.421	116766	0.000	10467897
20190110_ccpa_R2_t3	0.207	834679	0.033	21190	36.654	11407529	14.531	3357502	6.236	1234003	0.000	0	12.572	116868	0.000	10353076
20190110_ccpa_R2_t4	0.205	828461	0.034	22076	36.568	11380638	14.355	3316874	6.174	1221848	0.000	0	12.512	116994	0.000	10413614
20190110_ccpa_R2_t5	0.199	805847	0.034	21657	36.030	11213316	13.988	3231995	6.060	1199232	0.000	0	12.567	116623	0.000	10335900
20190110_ccpa_R3_t1	0.199	803812	0.034	22053	36.295	11295801	13.783	3184689	5.884	1164414	0.000	0	11.626	114890	0.000	10993640
20190110_ccpa_R3_t2	0.178	718171	0.035	22161	33.804	10520484	12.809	2959521	5.487	1085901	0.000	0	9.457	95054	0.000	11141437
20190110_ccpa_R3_t3	0.175	708698	0.040	25738	33.164	10321276	12.380	2860337	5.273	1043458	0.000	0	17.587	146967	0.000	9345321
20190110_ccpa_R3_t4	0.201	813485	0.040	25355	36.952	11500202	13.686	3162274	5.810	1149747	0.000	0	11.253	112514	0.000	11116801
20190110_MQ03	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_ccpa_R3_t5	0.197	795055	0.040	25897	36.961	11502954	13.530	3126218	5.872	1162033	0.000	0	14.002	131225	0.000	10453624
20190110_ccpa_R4_t1	0.176	710693	0.039	25068	38.899	12106117	12.209	2820876	5.159	1020863	0.000	0	10.302	101107	0.000	10895796
20190110_ccpa_R4_t2	0.170	686915	0.042	26989	38.058	11844289	11.950	2760967	5.052	999658	0.000	0	12.737	119546	0.000	10455053
20190110_ccpa_R4_t3	0.174	703752	0.041	26358	38.559	12000281	12.109	2797779	5.035	996372	0.000	0	10.518	98101	0.000	10359291
20190110_ccpa_R4_t4	0.171	690146	0.040	25830	37.877	11788097	11.755	2715964	4.869	963482	0.000	0	10.419	98517	0.000	10499513
20190110_ccpa_R4_t5	0.176	710792	0.042	27246	38.472	11973131	11.998	2772264	4.980	985473	0.000	0	10.780	100674	0.000	10376963
20190110_WT_CDMpc_chembottle_m1	0.005	22096	0.000	0	0.000	0	0.010	2263	0.000	0	26.197	3260291	0.000	0	0.000	11048765
20190110_WT_CDMpc_onbottle_m1	0.002	9132	0.000	0	0.000	0	0.333	76964	0.067	13197	26.935	3241603	0.000	0	0.000	10685706
20190110_WT_R1_t1	0.090	363643	0.036	22859	42.919	13357357	9.402	2172308	4.074	806173	0.000	0	7.365	68869	0.000	10310275
20190110_WT_R1_t2	0.086	347095	0.034	22115	40.125	12487612	8.515	1967304	3.762	744465	0.000	0	7.176	71512	0.000	10980841
20190110_WT_R1_t3	0.073	294509	0.029	18640	34.056	10598900	7.262	1677959	3.152	623798	0.000	0	5.081	49912	0.000	10713239
20190110_MQ04	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0
20190110_WT_R1_t4	0.090	365758	0.038	24101	41.367	12874268	8.915	2059741	3.956	782842	0.000	0	9.497	91006	0.000	10622803
20190110_WT_R1_t5	0.095	382375	0.039	24769	42.064	13091141	9.054	2091846	4.002	791935	0.000	0	9.379	90043	0.000	10640969
20190110_WT_R1_t6	0.095	384898	0.039	24824	42.781	13314211	9.377	2166532	4.101	811472	0.000	0	10.027	95264	0.000	10543199
20190110_WT_R2_t1	0.084	340407	0.040	25776	42.275	13156689	9.670	2234292	4.260	842967	0.000	0	10.510	99376	0.000	10501769
20190110_WT_R2_t2	0.080	324948	0.037	23838	39.980	12442438	9.039	2088561	3.953	782176	0.000	0	9.424	88463	0.000	10404467
20190110_WT_R2_t3	0.086	347423	0.040	25721	42.087	13098229	9.574	2212055	4.229	836885	0.000	0	9.647	90959	0.000	10455181
20190110_WT_R2_t4	0.087	352912	0.044	28179	41.418	12889983	9.460	2185719	4.179	826885	0.000	0	10.743	100463	0.000	10389432
20190110_WT_R2_t5	0.075	304302	0.035	22567	35.683	11105191	8.233	1902294	3.551	702652	0.000	0	7.691	72599	0.000	10418571
