Sample	Compound	Concentrations	Area
WT_R1_t1	ARG	2.538	583971
WT_R1_t4	ARG	3.497	147277
WT_R2_t3	PHE	2.435	146265
WT_R2_t3	ISO	1.652	106455
WT_R2_t4	PHE	2.492	89258
WT_R2_t4	ISO	1.715	65599
WT_R2_t5	PHE	2.035	24733
WT_R2_t5	ISO	1.233	16747
WT_R2_t5	GLY	4.788	135834
WT_R2_t5	THR	0.352	4770
WT_R2_t6	GLY	4.212	245297
WT_R2_t6	THR	0.283	8640
WT_R2_t6	ALA	8.966	246445
WT_R2_t6	PHE	2.267	56913
WT_R2_t6	ISO	1.346	37332
WT_cdm_rep2of3	ALA	10.573	270732
WT_cdm_rep2of3	PHE	3.27	75915
WT_cdm_rep2of3	ISO	4.134	95005
WT_R3_t1	GLY	4.863	218876
WT_R3_t1	THR	0.472	9211
WT_R3_t1	PHE	2.284	43824
WT_R3_t1	ISO	1.337	28384
WT_R3_t2	GLY	5.045	212108
WT_R3_t2	THR	0.635	10675
WT_R3_t2	ALA	10.092	197495
WT_R3_t2	PHE	2.496	44535
WT_R3_t2	ISO	1.604	30858
WT_R3_t3	GLY	4.696	238802
WT_R3_t3	THR	0.648	13186
WT_R3_t3	ALA	10.617	252487
WT_R3_t3	PHE	2.774	60017
WT_R3_t3	ISO	1.839	42210
WT_R3_t4	GLY	4.677	223052
WT_R3_t4	THR	0.596	11598
WT_R3_t4	ALA	9.948	221998
WT_R3_t4	PHE	2.57	52254
WT_R3_t4	ISO	1.71	37165
WT_R3_t5	GLY	4.984	158857
WT_R3_t5	THR	0.626	8014
WT_R3_t5	ALA	10.172	151011
WT_R3_t5	PHE	2.467	33407
WT_R3_t5	ISO	1.713	24772
