id,strain,reactornum,ASP_Conc,GLU_Conc,ASN_Conc,SER_Conc,GLN_Conc,HIS_Conc,GLY_Conc,THR_Conc,ARG_Conc,ALA_Conc,TYR_Conc,CYS_Conc,VAL_Conc,MET_Conc,NOR_Conc,TRP_Conc,PHE_Conc,ISO_Conc,LEU_Conc,LYS_Conc
5,ccpa,R1,0.9999,0.67934,0.16913999999999998,0.12752000000000002,0.05993999999999999,0.1026,0.22238000000000002,0.0639,0.0,0.88798,0.20832,0.24348,0.31185999999999997,0.11316000000000001,0.0,0.06002,0.26839999999999997,0.14004,0.34165999999999996,0.6228600000000001
6,ccpa,R2,0.9607600000000002,0.65452,0.16352,0.13448000000000002,0.04154,0.10134000000000001,0.22203999999999996,0.06438,0.0,0.8804200000000002,0.19322000000000003,0.26002000000000003,0.30464,0.11058000000000001,0.0,0.041819999999999996,0.25552,0.14238,0.34581999999999996,0.59864
7,ccpa,R3,0.9121250000000001,0.6440750000000001,0.16085,0.1373,0.049125,0.128425,0.2526,0.061875000000000006,0.0,0.9105000000000001,0.208,0.336575,0.30674999999999997,0.120125,0.0,0.0423,0.26532500000000003,0.13920000000000002,0.364275,0.606325
8,ccpa,R4,0.7283999999999999,0.57134,0.14401999999999998,0.15798,0.018840000000000003,0.26852,0.3889,0.03232,0.0,0.9163600000000001,0.21062000000000003,0.7711399999999999,0.27331999999999995,0.11846000000000001,0.0,0.049359999999999994,0.26350000000000007,0.14418,0.39768,0.49626000000000003
9,WT,R1,0.6612166666666667,0.5922833333333334,0.18468333333333334,0.21071666666666666,0.02438333333333333,0.27181666666666665,0.40824999999999995,0.058983333333333325,0.3398666666666667,0.9699833333333334,0.19658333333333333,1.1589666666666665,0.2992,0.13963333333333336,0.0,0.06721666666666666,0.2512666666666667,0.16963333333333333,0.4993166666666667,0.5297
10,WT,R2,0.6240833333333334,0.5670999999999999,0.18405000000000002,0.21245,0.024566666666666667,0.22088333333333332,0.4361,0.0335,0.3591666666666667,0.97135,0.19593333333333332,1.18105,0.28696666666666665,0.14423333333333335,0.0,0.05165,0.2387166666666667,0.15605,0.5007,0.5125333333333334
11,WT,R3,1.0137,0.7870166666666667,0.23371666666666666,0.1616,0.42119999999999996,0.08613333333333333,0.0756,0.2899833333333333,0.26316666666666666,0.9642333333333334,0.20215000000000002,0.21641666666666667,0.40700000000000003,0.14473333333333332,0.0,0.04228333333333333,0.27613333333333334,0.22176666666666667,0.4697166666666666,0.9017
12,WT,R4,0.9925833333333333,0.7764833333333335,0.23834999999999998,0.15976666666666667,0.41771666666666674,0.08746666666666668,0.07415,0.2926166666666667,0.26075,0.9626999999999999,0.20131666666666667,0.22818333333333332,0.3964833333333333,0.14523333333333333,0.0,0.04669999999999999,0.2715666666666667,0.23004999999999998,0.4639499999999999,0.9178833333333333
