id,strain,reactornum,ALA_Conc,ARG_Conc,ASN_Conc,ASP_Conc,CYS_Conc,GLN_Conc,GLU_Conc,GLY_Conc,HIS_Conc,ISO_Conc,LEU_Conc,LYS_Conc,MET_Conc,NOR_Conc,PHE_Conc,SER_Conc,THR_Conc,TRP_Conc,TYR_Conc,VAL_Conc
5,ccpa,R1,-0.317640909293,-0.778893634058,-0.242648694337,-0.0163485920192,-0.0577316606611,-0.333288847369,0.0124783130922,-0.0911517416255,-0.0289714844966,-0.269729525335,-0.306030072512,-0.222952533476,-0.0787067930068,0.0,-0.0661728724587,-0.839216602162,-0.281929801148,-0.0646603496597,-0.0376073223898,-0.234796921571
6,ccpa,R2,-0.319838638373,-0.774038461538,-0.244241821397,-0.0378757736516,-0.0482316534041,-0.341379310345,-0.00131520778073,-0.0907714412025,-0.0294871794872,-0.266755083996,-0.301823607427,-0.234946949602,-0.0796419098143,0.0,-0.0728779840849,-0.830139257294,-0.279907161804,-0.0743147656941,-0.045717285588,-0.23732316534
7,ccpa,R3,-0.302747737806,-0.772842639594,-0.245337673803,-0.0646518428603,-0.00591756786581,-0.336666850585,-0.0070762524829,-0.0737695872876,-0.014497351578,-0.26809755021,-0.2911746855,-0.230343743103,-0.0742523725447,0.0,-0.0673554403002,-0.827300816597,-0.280856874862,-0.0739351136614,-0.0374917236813,-0.235792319576
8,ccpa,R4,-0.302653880464,-0.780943354148,-0.257292595897,-0.167763157895,0.236306868867,-0.35708073149,-0.0477029438002,0.0014495985727,0.0634589652096,-0.268131132917,-0.275602140946,-0.294123550401,-0.0759589652096,0.0,-0.0690789473684,-0.824442462087,-0.300278768956,-0.0707738626227,-0.0364239518287,-0.256902319358
9,WT,R1,-0.304087933035,-0.659394165424,-0.261571771921,-0.228793717885,0.504516824134,-0.394652328858,-0.0401645118515,0.0136437095972,0.0727975302503,-0.283109564064,-0.244084617935,-0.30712332173,-0.0715232885795,0.0,-0.0846179346925,-0.886364578153,-0.318197828609,-0.0678041604509,-0.0493328360683,-0.270325708603
10,WT,R2,-0.300326274317,-0.641180333251,-0.259449642945,-0.249456209472,0.513266436838,-0.390749404908,-0.0552819502586,0.0306574735287,0.0407432487893,-0.288752770254,-0.24088894361,-0.314741853402,-0.068004596569,0.0,-0.0915312320447,-0.876785274563,-0.330829844866,-0.0767360256095,-0.0492592136584,-0.275260609045
11,WT,R3,-0.319498235649,-0.734271451932,-0.239984077804,-0.0100697134005,-0.0844844651003,-0.153692228247,0.0839895860229,-0.200555125226,-0.0442594027025,-0.260349427662,-0.272581547465,-0.0788148721921,-0.0709828728806,0.0,-0.071822015664,-0.952168861348,-0.181330148894,-0.086507014373,-0.0476374903176,-0.211141234185
12,WT,R4,-0.311324303988,-0.714791823426,-0.230216955104,-0.0230227405735,-0.0746906613159,-0.151481899507,0.0749832789901,-0.195729872084,-0.0421578463339,-0.247711311763,-0.268403561575,-0.0664137613912,-0.0686397458406,0.0,-0.072631886966,-0.926093136025,-0.174494189449,-0.0812641083521,-0.0467979265948,-0.211698436586
