strain	reactor	Acetate	Arabinose	Ethanol	Glucose	Lactate	Pyruvate	Succinate	Formate	unit
WT	R1	2.38670946703112	0.0	5.025169301327077	-16.277509760354302	25.19699109828941	0.05478237115717719	0.02226504687862589	5.439402731627094	mmol/gDW/h
WT	R2	2.448444552232209	0.0	5.8336069346887065	-15.912156272594192	24.43646062536691	0.05031327803106789	0.023789980557949612	5.574549231506609	mmol/gDW/h
WT	R3	2.420291144751699	0.0	5.6928751352418425	-16.351164906488506	25.346895876247086	0.006553698191324554	0.021949687593166362	5.25273708686892	mmol/gDW/h
WT	R4	2.322343660269	0.0	6.259596785727992	-16.48812598619639	24.10825383808315	0.006608593459367947	0.023182526262227245	4.935570331059068	mmol/gDW/h
ccpa	R1	2.8061986735668847	0.0	4.880750846934251	-16.14582810767494	23.035873370290055	0.10887802252457848	0.017263957059922595	6.277404973081987	mmol/gDW/h
ccpa	R2	3.4770148226894335	0.0	7.028266758909592	-15.755451545624444	20.43778059283996	0.11399496253205126	0.018643511113616264	8.076795793588637	mmol/gDW/h
ccpa	R3	3.1824574330196427	0.0	7.182044461123374	-15.761174927316269	19.905919584575592	0.10673355084970208	0.021234359063782838	7.436295014357981	mmol/gDW/h
ccpa	R4	2.8207203324219443	0.0	6.154666767168599	-15.76827064490187	21.56594965451828	0.0974522625307761	0.02292994412488849	6.746461648627118	mmol/gDW/h
