id,strain,reactornum,ASP_Conc,GLU_Conc,ASN_Conc,SER_Conc,GLN_Conc,HIS_Conc,GLY_Conc,THR_Conc,ARG_Conc,ALA_Conc,TYR_Conc,CYS_Conc,VAL_Conc,MET_Conc,NOR_Conc,TRP_Conc,PHE_Conc,ISO_Conc,LEU_Conc,LYS_Conc
5,ccpa,R1,0.04619615784889475,0.024624004548407633,0.005587271248113876,0.0027776608864294445,0.0016806546343612666,0.0036009720909776586,0.004352401635878746,0.003381271950021174,0.0,0.017851817834607226,0.010865054072575986,0.014857267581894058,0.01045201415995979,0.0018864251906715002,0.0,0.010227922565213328,0.007323045814413551,0.003245858900198835,0.004809220311027554,0.0174191733443353
6,ccpa,R2,0.03597067694664644,0.016878963238303506,0.004417171040383192,0.0017284096736595736,0.0009708758932015984,0.004623807954489463,0.011367084058807696,0.002089593261857436,0.0,0.012813094864239451,0.0032974838892707325,0.0252941574281493,0.007222021877563092,0.002755975326449784,0.0,0.0067953954998954975,0.0038278453469282134,0.0028995516894858094,0.006741765347444242,0.010960957987329397
7,ccpa,R3,0.05404828666726333,0.03431854151426988,0.01067063728181217,0.00694682181528599,0.002367972057830636,0.020132245072685427,0.024487888162654327,0.004996561317546298,0.0,0.04599201017568162,0.01072823377821345,0.06080799529393044,0.01795111417154935,0.007555833838829436,0.0,0.0033682339586198584,0.013763985311916995,0.008028387135658075,0.01977424145194955,0.03252848431247093
8,ccpa,R4,0.040396584013998,0.017662349787046998,0.0033956442687655022,0.006374590182905879,0.004729545432702809,0.04146678670936537,0.034605173023696915,0.014450204150807004,0.0,0.013018279456210785,0.009489067393585108,0.13455881464995148,0.010469164245535553,0.005811935994141712,0.0,0.00300908624004032,0.009499157857410312,0.010158661329131903,0.010775035962817,0.03090754923962754
9,WT,R1,0.038326017417820914,0.024714522271553463,0.007464735613387648,0.007805913000910129,0.000590150639902879,0.03632563297605579,0.03271801491533373,0.0069861489948166555,0.02642804907248694,0.028058194485350914,0.005435771436614239,0.1696669967252847,0.013683079575397737,0.0051001089312985365,0.0,0.011941563735308892,0.006267943132408837,0.005743963014427503,0.022889057307902482,0.0563937348766096
10,WT,R2,0.042568872952480706,0.02946305030599061,0.008411886431314517,0.0034663862066038414,0.0012032363765186699,0.024226974177098095,0.013816005211348178,0.011457864838907234,0.019870525352334748,0.037469113947356664,0.0049155309422731185,0.10947380432474854,0.01694578938196087,0.009409734911840566,0.0,0.003780894955783178,0.008228422962174735,0.008802225097477728,0.006395258660393106,0.04022697823324265
11,WT,R3,0.018830046910899238,0.01452343891018163,0.004696766026864785,0.003977603968890486,0.009725704773091428,0.002510068613493353,0.0015914354107743963,0.007401234881948946,0.012769199052581354,0.02073161300472732,0.0044485765513626215,0.012093783986458138,0.008927224279322967,0.003359331944168533,0.0,0.0012001157351596474,0.005858536032529327,0.004771698975324313,0.01156818673969454,0.04264975967106966
12,WT,R4,0.02207684181318616,0.020023759498267162,0.006784676361723774,0.007185061663695803,0.018828230872224246,0.004873716355217147,0.0022916878786897093,0.010020126967481224,0.011664697452856056,0.03610007386880718,0.0065180475945212655,0.02427228071506902,0.011089346739601547,0.0059411371900597535,0.0,0.0019704483415371923,0.010647399265130954,0.006384238404069825,0.022020486673398777,0.057992731824293695
