id,strain,reactornum,ALA_Conc,ARG_Conc,ASN_Conc,ASP_Conc,CYS_Conc,GLN_Conc,GLU_Conc,GLY_Conc,HIS_Conc,ISO_Conc,LEU_Conc,LYS_Conc,MET_Conc,NOR_Conc,PHE_Conc,SER_Conc,THR_Conc,TRP_Conc,TYR_Conc,VAL_Conc
5,ccpa,R1,0.0100769357326,0.0191149197795,0.00998543662679,0.000855263947225,0.00379704338628,0.0124189753474,0.000546217822954,0.00286124450769,0.00124073724757,0.00910507962895,0.00865800864745,0.0082954758896,0.00233504559428,0.0,0.00242836156952,0.0275376733677,0.0164446764108,0.0111323544517,0.0021677197201,0.00975333889799
6,ccpa,R2,0.00807812944907,0.0159780246953,0.00830355128821,0.00161931630176,0.00479633848895,0.0106451416206,4.34446038793e-05,0.0050104852155,0.00147668765174,0.0077351511222,0.00856969074457,0.00648281983182,0.00257732441982,0.0,0.00185878586729,0.0201861667638,0.0107667079391,0.0121725690868,0.00122446920757,0.00746010183953
7,ccpa,R3,0.0166506143275,0.0168128278447,0.0171282422701,0.00408098908179,0.0010768319101,0.0178045146899,0.00040726191684,0.00732932353601,0.00229442252393,0.0165259637032,0.0170281025594,0.013334955764,0.00494190654186,0.0,0.00378892958974,0.0455632358212,0.0234884800524,0.00610301260412,0.00209871773415,0.0147212411542
8,ccpa,R4,0.00619036053505,0.0114914069262,0.00715082420051,0.00962595580552,0.0413803351194,0.0897944963719,0.00163322096168,0.00013074024661,0.00984417697518,0.0192996324772,0.00849753203687,0.0188226264439,0.00389073589382,0.0,0.00268975579255,0.0354097489591,0.134326698418,0.00443842683836,0.00172631833499,0.0105414420069
9,WT,R1,0.00910168126628,0.0515246164409,0.0107621236223,0.0133777305711,0.0739605887447,0.0100222725074,0.00170418551183,0.00109845727555,0.00974476761794,0.00983046685009,0.0113453530358,0.0327826107801,0.002669654451,0.0,0.00220883794155,0.033534943553,0.037767572035,0.012057214774,0.00141587791677,0.0125361337079
10,WT,R2,0.0118476744738,0.035866106657,0.0120502131599,0.0171398624171,0.0477643182326,0.0194087308007,0.00290821061591,0.00100374599426,0.00448147324479,0.016461347568,0.00366449730139,0.0248395275462,0.00447204094749,0.0,0.00324441357261,0.0160357417562,0.113185363706,0.00565292094249,0.00130110827937,0.0164128901254
11,WT,R3,0.00851553883364,0.0374580519591,0.00612757120172,0.000245244424601,0.0049051141312,0.00429587659931,0.00203774758666,0.00527285026589,0.00146613867084,0.0069424438846,0.00796869550632,0.00392915626613,0.00199109783462,0.0,0.00189782870058,0.0278245385459,0.0054384526701,0.00280805058765,0.00128918681311,0.0057016246807
12,WT,R4,0.0120505271032,0.0327038447651,0.00691557441652,0.000557699653008,0.00797725135692,0.00698096278201,0.0020632065908,0.0063341681012,0.00238365620937,0.00727379632785,0.0129970519793,0.00424421289735,0.00288411422514,0.0,0.00293176616179,0.0425861713146,0.00620545463881,0.00351640848394,0.00158033870967,0.00625989574704
